TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,75;;-3,93;1,02;0,38;30,10;1,60;-22,81;55,95;96,91;40,90;0,75;0,90;-4,63;-0,49;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;1.649.187,70;8,58;-2,22;-0,04;1.036.245.068,16
ABCB4;23,42;6,73;5,72;0,97;0,10;25,50;17,06;15,50;5,20;5,24;;;0,89;-2,71;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;14.577.284,93;24,15;4,09;-0,31;5.594.061.226,56
ABEV3;13,43;5,44;14,03;2,34;1,53;50,30;22,59;18,29;11,36;10,59;-0,75;-0,15;2,57;57,08;-2,11;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;288.037.799,63;5,73;0,96;0,93;211.101.366.005,60
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,84;;-9,54;1,28;0,27;12,62;9,03;-3,39;3,58;7,09;3,51;1,26;0,32;1,27;-0,84;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;6.196.003,63;0,66;-0,09;-0,05;1.043.619.303,72
AESB3;11,45;;43,68;1,54;0,35;35,54;28,78;4,90;7,44;17,53;9,96;2,06;2,14;21,10;-0,42;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;23.091.091,97;7,43;0,26;-0,64;7.018.472.446,26
AFLT3;7,87;3,34;16,20;1,90;1,59;57,31;45,58;44,72;15,90;15,52;-0,38;-0,05;7,25;16,27;-1,98;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;5.918,06;4,15;0,49;-0,22;496.476.589,00
AGRO3;24,96;12,87;9,99;1,17;0,73;30,65;20,17;20,86;10,33;12,17;1,85;0,21;2,08;3,57;-1,19;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;8.929.389,57;21,40;2,50;-0,23;2.558.871.424,48
AGXY3;2,96;1,34;-2,01;0,49;0,06;12,31;3,90;-2,43;1,25;3,85;2,59;1,03;0,05;2,21;-0,30;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;504.394,10;6,00;-1,48;-0,01;510.766.717,11
AHEB3;15,50;;1,36;7,93;0,36;33,84;21,93;17,66;1,10;1,08;-0,02;-0,17;0,24;2,31;-0,63;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;4.721,33;1,95;11,39;0,00;132.637.102,84
AHEB5;16,59;;1,46;8,49;0,38;33,84;21,93;17,66;1,17;1,08;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.659,00;1,95;11,39;0,00;132.637.102,84
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,08;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;132.637.102,84
ALLD3;7,37;6,55;9,03;0,44;0,20;12,55;3,39;1,31;3,50;4,79;1,28;0,16;0,12;0,68;-0,65;1,73;4,90;2,20;7,91;0,45;0,55;1,67;14,71;32,13;420.104,67;16,66;0,82;2,95;688.900.100,98
ALOS3;24,95;2,08;4,57;0,97;0,51;96,37;264,05;140,12;2,42;2,16;-0,28;-0,11;6,40;13,96;-0,57;1,58;21,32;11,20;27,21;0,53;0,43;0,08;25,65;86,64;103.893.196,57;25,62;5,46;0,00;14.388.598.308,63
ALPA3;9,35;;-22,68;1,18;0,81;40,37;-9,97;-7,36;-16,73;-18,38;-2,17;0,15;1,67;2,87;-1,33;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;44.293,07;7,89;-0,41;0,14;6.190.807.401,89
ALPA4;8,73;;-21,18;1,11;0,75;40,37;-9,97;-7,36;-15,62;-18,38;-2,17;0,15;1,56;2,68;-1,24;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;37.532.253,17;7,89;-0,41;0,13;6.190.807.401,89
ALPK3;4,72;;-9,46;2,69;0,40;29,90;10,81;-8,39;7,34;15,99;8,65;3,17;0,79;-3,42;-0,46;0,55;-28,46;-4,21;7,28;0,15;0,85;0,50;3,17;;1.039.196,97;1,75;-0,50;0,27;1.024.353.398,00
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALUP11;29,90;6,02;12,24;1,21;0,32;75,83;71,87;23,53;4,01;7,94;3,91;1,18;2,88;3,59;-0,40;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;16.917.425,40;24,75;2,44;-0,58;9.148.852.211,36
ALUP3;10,00;6,00;12,28;1,21;0,32;75,83;71,87;23,53;4,02;7,94;3,91;1,18;2,89;3,60;-0,40;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;104.786,47;8,25;0,81;-0,58;9.148.852.211,36
ALUP4;10,00;6,00;12,28;1,21;0,32;75,83;71,87;23,53;4,02;7,94;3,91;1,18;2,89;3,60;-0,40;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;197.527,73;8,25;0,81;-0,58;9.148.852.211,36
AMAR3;2,79;;-0,32;1,77;0,08;35,54;-16,35;-26,68;-0,52;-3,57;-3,04;10,33;0,09;-0,58;-0,13;0,75;-554,09;-24,09;-27,15;0,04;0,96;0,90;-0,89;;2.233.229,90;1,57;-8,71;0,00;192.677.715,42
AMBP3;14,20;0,94;-18,69;2,40;0,23;23,51;18,46;-2,69;2,72;7,93;5,19;4,56;0,50;0,94;-0,39;2,30;-12,82;-1,21;8,16;0,09;0,84;0,45;83,52;;15.982.790,97;5,92;-0,76;0,08;2.388.698.726,70
AMER3;0,84;;-0,06;-0,03;0,02;19,46;-30,26;-50,03;-0,10;-2,23;-2,14;;0,03;-0,02;-0,05;0,34;-48,42;-41,26;202,73;-0,85;1,85;0,82;32,64;;20.487.676,77;-29,55;-14,31;0,00;749.099.487,49
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;0,00;1.651.867.985,68
ANIM3;4,43;;-19,18;0,70;0,18;57,97;10,96;-2,54;4,45;14,43;9,94;1,57;0,49;10,23;-0,22;1,10;-3,66;-0,94;0,24;0,26;0,70;0,37;27,79;;32.003.457,90;6,32;-0,23;0,26;1.805.293.558,35
APER3;43,66;0,74;33,66;1,05;0,61;100,00;11,00;5,02;15,38;15,14;-0,35;-0,02;1,69;-28,12;-0,77;0,90;3,12;1,82;5,96;0,58;0,42;0,36;22,90;;2.264.643,93;41,62;1,30;-1,38;505.011.094,66
APTI3;197,64;;-0,12;0,02;0,01;92,39;-162,78;-88,96;-0,07;-0,52;0,27;-0,07;0,11;0,02;-0,01;9,26;-14,45;-6,44;-28,38;0,45;0,55;0,07;4,07;;;11.460,45;-1.656,52;0,00;44.442.750,00
APTI4;3.500,00;;-2,11;0,31;0,14;92,39;-162,78;-88,96;-1,15;-0,52;0,27;-0,07;1,88;0,38;-0,23;9,26;-14,45;-6,44;-28,38;0,45;0,55;0,07;4,07;;;11.460,45;-1.656,52;0,00;44.442.750,00
ARML3;15,54;0,22;31,91;4,43;1,36;48,07;34,23;13,57;12,65;16,10;3,33;1,17;4,33;7,97;-1,97;2,22;13,89;4,25;12,06;0,31;0,69;0,31;;;8.275.481,67;3,51;0,49;0,94;5.428.991.683,29
ARZZ3;60,74;3,18;17,53;2,33;1,20;53,60;11,50;8,13;12,38;13,25;0,82;0,16;1,42;13,20;-2,28;1,23;13,30;6,83;13,38;0,51;0,48;0,84;25,49;20,02;112.216.797,60;26,05;3,47;-1,16;6.761.462.429,52
ASAI3;14,31;0,35;20,49;4,47;0,47;16,45;5,04;1,53;6,20;9,31;3,10;2,24;0,31;-5,66;-0,69;0,79;21,83;2,28;16,55;0,10;0,90;1,50;;;153.049.743,93;3,20;0,70;-0,50;19.398.806.420,00
ATMP3;3,00;;0,07;-4,78;0,05;-31,36;-45,63;347,29;-0,52;-1,55;-1,02;;0,24;-4,59;-0,07;0,96;-6.969,53;76,61;-72,03;-0,01;1,01;0,22;-16,95;;191.639,33;-0,63;43,76;0,00;81.199.482,24
ATOM3;2,16;14,83;-634,80;2,81;1,83;92,38;-4,89;-0,35;-44,83;-26,88;17,95;-1,13;2,19;1,99;-83,20;17,09;-0,44;-0,29;-8,88;0,65;0,35;0,83;;;16.838,57;0,77;0,00;6,30;51.418.579,68
AURA33;31,95;6,00;8,83;1,33;0,54;36,53;24,61;12,67;4,54;5,75;1,21;0,35;1,12;3,57;-0,87;1,64;15,08;6,07;12,15;0,40;0,60;0,48;32,13;68,75;1.883.725,87;24,00;3,62;-0,24;2.260.929.021,60
AURE3;13,16;22,80;6,49;0,94;0,42;21,10;24,36;34,01;9,06;9,96;0,90;0,09;2,21;3,54;-0,56;1,92;14,52;6,50;0,61;0,45;0,55;0,19;;;65.911.269,30;13,96;2,03;0,01;13.160.000.000,00
AVLL3;4,99;;-0,31;-0,22;0,11;32,90;-54,45;-118,56;-0,68;-5,53;-4,85;;0,37;-0,15;-0,14;0,28;-71,88;-34,00;-43,28;-0,47;1,47;0,29;19,61;;20.116,38;-22,24;-15,99;-0,05;142.789.912,87
AZEV3;1,71;;-6,82;2,05;0,48;11,50;-8,21;-8,58;-7,12;-7,98;-1,02;0,29;0,59;-7,38;-0,80;0,86;-30,05;-6,99;-43,18;0,23;0,77;0,82;43,23;;1.183.279,23;0,83;-0,25;0,01;280.375.283,29
AZEV4;1,66;;-6,62;1,99;0,46;11,50;-8,21;-8,58;-6,91;-7,98;-1,02;0,29;0,57;-7,16;-0,78;0,86;-30,05;-6,99;-43,18;0,23;0,77;0,82;43,23;;5.396.149,20;0,83;-0,25;0,01;280.375.283,29
AZUL4;12,97;;-13,43;-0,77;0,84;21,10;12,33;-6,75;7,35;13,30;11,28;;0,91;-2,02;-1,20;0,42;-5,74;-6,23;42,22;-1,09;2,09;0,92;15,41;;198.861.779,13;-16,83;-0,97;0,30;4.528.567.750,14
B3SA3;13,88;3,02;18,57;3,87;1,64;85,66;51,52;40,19;14,49;13,91;-0,62;-0,17;7,46;14,37;-2,56;1,46;20,86;8,82;12,22;0,42;0,58;0,22;22,44;26,63;458.207.293,10;3,58;0,75;-8,56;78.599.280.000,00
BAHI3;8,24;;-2,68;5,05;0,35;43,42;-6,44;-21,49;-8,94;-16,14;-7,34;4,14;0,58;-0,93;-0,37;0,13;-188,32;-13,00;-10,59;0,07;0,91;0,60;56,84;;43.733,72;1,63;-3,07;0,23;213.763.714,20
BALM3;10,41;1,06;-27,97;0,69;0,41;60,04;10,70;-1,99;5,21;3,55;-1,66;-0,22;0,56;0,86;-1,39;3,08;-2,48;-1,46;7,19;0,59;0,41;0,73;8,44;;7.111,00;15,00;-0,37;0,25;101.969.000,00
BALM4;10,40;1,06;-27,95;0,69;0,41;60,04;10,70;-1,99;5,20;3,55;-1,66;-0,22;0,56;0,86;-1,39;3,08;-2,48;-1,46;7,19;0,59;0,41;0,73;8,44;;11.836,40;15,00;-0,37;0,24;101.969.000,00
BAUH4;79,90;1,51;-147,08;4,22;2,55;21,97;4,34;-1,30;44,06;41,73;-2,33;-0,22;1,91;29,63;-4,69;1,23;-2,87;-1,74;-2,68;0,60;0,40;1,33;3,33;;24.735,07;18,93;-0,54;1,12;417.255.537,80
BAZA3;92,44;5,77;4,34;0,89;0,12;26,11;45,99;30,61;2,89;2,88;;;1,33;4,17;-0,12;;20,56;2,80;;0,14;0,86;0,09;17,64;79,28;200.948,80;103,67;21,31;0,91;5.169.697.809,30
BBAS3;55,93;8,18;4,81;0,97;0,07;32,66;15,94;12,40;3,74;3,74;;;0,60;2,80;-0,07;14,76;20,10;1,50;;0,07;0,92;0,12;9,97;25,65;449.898.155,80;57,82;11,62;0,22;160.320.082.269,00
BBDC3;14,11;7,17;10,85;0,90;0,08;30,94;3,95;6,18;16,98;17,98;;;0,67;0,65;-0,09;11,40;8,33;0,73;;0,09;0,91;0,12;8,37;-4,12;82.398.920,47;15,62;1,30;-0,26;158.978.903.116,44
BBDC4;15,79;7,05;12,14;1,01;0,09;30,94;3,95;6,18;19,01;17,98;;;0,75;0,73;-0,10;11,40;8,33;0,73;;0,09;0,91;0,12;8,37;-4,12;610.053.432,37;15,62;1,30;-0,29;158.978.903.116,44
BBML3;3.936,42;;48.754,69;149.535,60;154,10;6,84;2,69;0,20;3.576,72;3.586,40;9,67;404,48;96,25;-869,12;-250,59;0,68;306,71;0,32;5,37;0,00;1,00;1,60;41,29;1,17;;0,03;0,08;-384,83;160.451.699.191,56
BBSE3;33,64;10,36;8,79;6,31;4,14;;;;7,75;7,72;;;;38,90;-5,76;1,61;71,80;47,15;;0,66;0,34;0,00;;13,59;161.137.169,30;5,33;3,83;0,25;67.060.000.000,00
BDLL3;11,00;;1,25;-0,11;0,03;-28,71;-67,71;30,27;-0,56;-5,53;-5,06;;0,38;-1,26;-0,05;0,96;-9,03;2,24;-345,45;-0,25;1,25;0,07;-27,58;;1.100,00;-97,25;8,78;0,01;14.889.634,16
BDLL4;8,27;;0,94;-0,09;0,02;-28,71;-67,71;30,27;-0,42;-5,53;-5,06;;0,28;-0,95;-0,04;0,96;-9,03;2,24;-345,45;-0,25;1,25;0,07;-27,58;;2.080,20;-97,25;8,78;0,01;14.889.634,16
BEEF11;3,62;;6,02;3,50;0,08;19,88;7,42;1,32;1,08;6,39;4,38;14,28;0,08;0,31;-0,20;1,87;58,14;1,41;9,40;0,02;0,96;1,06;20,68;;;1,03;0,60;-0,11;4.099.162.997,25
BEEF3;6,76;8,15;11,24;6,54;0,16;19,88;7,42;1,32;2,01;6,39;4,38;14,28;0,15;0,58;-0,38;1,87;58,14;1,41;9,40;0,02;0,96;1,06;20,68;;75.568.788,67;1,03;0,60;-0,20;4.099.162.997,25
BEES3;9,35;5,86;8,59;1,40;0,07;27,82;9,27;6,64;6,15;6,24;;;0,57;0,92;-0,08;;16,33;0,83;;0,05;0,95;0,12;12,53;15,49;111.245,70;6,67;1,09;7,22;2.993.790.979,80
BEES4;9,93;5,52;9,12;1,49;0,08;27,82;9,27;6,64;6,54;6,24;;;0,61;0,98;-0,08;;16,33;0,83;;0,05;0,95;0,12;12,53;15,49;46.565,33;6,67;1,09;7,67;2.993.790.979,80
BFRE11;0,00;;0,00;0,00;0,00;31,58;170,29;145,51;0,00;;;;0,00;0,00;0,00;;9,21;8,19;;0,89;0,10;0,06;;13,07;;302.450,49;27.857,74;0,00;
BFRE12;0,00;;0,00;0,00;0,00;31,58;170,29;145,51;0,00;;;;0,00;0,00;0,00;;9,21;8,19;;0,89;0,10;0,06;;13,07;;302.450,49;27.857,74;0,00;
BGIP3;27,50;8,16;7,87;0,79;0,05;35,73;5,88;5,19;6,94;6,93;;;0,41;-0,39;-0,11;0,77;10,09;0,70;;0,07;0,93;0,13;8,79;-6,20;9.438,00;34,66;3,50;0,08;488.433.002,40
BGIP4;27,40;9,01;7,84;0,79;0,05;35,73;5,88;5,19;6,92;6,93;;;0,41;-0,39;-0,11;0,77;10,09;0,70;;0,07;0,93;0,13;8,79;-6,20;36.640,59;34,66;3,50;0,08;488.433.002,40
BHIA3;9,62;;-0,51;0,21;0,03;28,99;-0,55;-5,91;-5,48;-47,46;-41,99;1,58;0,03;-0,19;-0,05;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;49.369.987,80;46,63;-18,80;0,00;913.749.849,91
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;5,51;;-5,75;4,96;1,45;18,28;-60,40;-68,60;-6,53;-7,99;-1,46;1,11;3,94;14,13;-2,25;1,40;-86,26;-25,16;-29,62;0,29;0,71;0,37;299,61;;64.647,28;1,11;-0,96;0,38;490.942.785,24
BLAU3;14,45;2,92;8,19;1,31;0,84;39,36;29,85;23,41;6,42;6,79;0,32;0,07;1,92;2,25;-1,79;3,44;16,03;10,30;11,80;0,64;0,36;0,44;;;4.889.553,50;11,01;1,76;8,73;2.610.181.812,45
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-1,08;-0,14;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;;11,21;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,32;-0,04;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;;11,21;-0,91;0,06;14.115.600,06
BMEB3;20,55;7,00;7,49;1,47;0,12;52,09;7,94;6,39;6,03;5,78;;;0,48;1,08;-0,13;;19,66;1,59;;0,08;0,92;0,25;5,94;31,72;23.048,92;13,96;2,74;0,15;2.067.002.129,80
BMEB4;18,35;8,62;6,69;1,31;0,11;52,09;7,94;6,39;5,38;5,78;;;0,43;0,96;-0,12;;19,66;1,59;;0,08;0,92;0,25;5,94;31,72;573.118,10;13,96;2,74;0,13;2.067.002.129,80
BMGB4;3,42;10,98;9,06;0,48;0,05;35,71;0,71;3,05;39,21;38,06;;;0,28;;-0,05;;5,32;0,50;;0,09;0,91;0,16;19,34;78,00;5.920.014,00;7,10;0,38;0,05;1.936.331.604,52
BMIN3;20,00;6,04;10,06;0,70;0,37;59,27;33,24;26,08;7,89;7,64;;;2,62;81,30;-0,37;;7,00;3,71;;0,53;0,47;0,14;16,78;;5.110,00;28,39;1,99;0,22;93.450.385,10
BMIN4;15,70;7,69;7,90;0,55;0,29;59,27;33,24;26,08;6,20;7,64;;;2,06;63,82;-0,29;;7,00;3,71;;0,53;0,47;0,14;16,78;;6.418,50;28,39;1,99;0,18;93.450.385,10
BMKS3;365,00;15,83;7,61;0,81;0,71;28,02;25,71;136,17;40,31;2,11;-38,20;-0,77;10,36;0,96;-2,89;36,30;10,66;9,28;-1,63;0,87;0,13;0,07;2,51;22,12;11.517,24;450,03;47,95;-1,81;165.983.750,00
BMOB3;13,11;1,71;16,64;1,06;0,82;24,00;7,50;5,24;11,64;6,25;-5,46;-0,50;0,87;1,76;-2,44;3,35;6,35;4,92;4,52;0,78;0,22;0,94;;;3.859.572,13;12,41;0,79;-0,77;1.147.578.697,48
BNBR3;119,50;2,97;4,57;1,01;0,16;47,54;42,45;25,39;2,73;2,73;;;1,16;4,08;-0,17;;22,00;3,48;;0,16;0,84;0,14;8,76;25,82;24.162,28;118,87;26,16;0,34;10.321.389.948,00
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;4,65;0,93;0,07;0,34;8,81;74,34;53.310.276,50;4,34;0,52;5,59;4.212.250.617,75
BOBR3;0,00;;0,00;0,00;0,00;39,60;15,89;7,28;0,00;2,75;1,55;;0,00;0,00;0,00;0,84;-149,20;11,92;59,94;-0,08;1,08;1,64;6,05;-3,28;;-0,28;0,41;0,00;280.199.373,36
BOBR4;2,25;;5,46;-8,15;0,65;39,60;15,89;7,28;2,50;2,75;1,55;;0,40;-6,79;-1,27;0,84;-149,20;11,92;59,94;-0,08;1,08;1,64;6,05;-3,28;250.929,67;-0,28;0,41;-0,02;280.199.373,36
BPAC11;37,53;1,68;16,28;3,01;0,34;19,88;23,13;19,91;14,01;14,16;;;3,24;23,37;-3,46;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;228.043.485,93;12,46;2,31;0,69;145.475.709.623,01
BPAC3;18,11;1,16;23,57;4,36;0,49;19,88;23,13;19,91;20,29;14,16;;;4,69;33,83;-5,01;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;100.984,23;4,15;0,77;1,00;145.475.709.623,01
BPAC5;9,51;2,22;12,38;2,29;0,26;19,88;23,13;19,91;10,65;14,16;;;2,46;17,76;-2,63;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;91.860,50;4,15;0,77;0,53;145.475.709.623,01
BPAN4;7,93;2,71;16,17;1,37;0,19;49,84;4,88;4,32;14,30;14,28;;;0,70;;-0,19;;8,47;1,16;;0,14;0,86;0,27;8,24;41,40;16.265.199,30;5,79;0,49;-1,92;10.051.035.112,80
BPAR3;182,07;;7,65;0,94;0,10;48,75;13,16;7,91;4,59;4,59;;;0,60;6,24;-0,11;;12,30;1,36;;0,11;0,89;0,17;4,66;-0,41;;193,58;23,82;-0,44;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;21,35;12,87;3,96;1,05;1,03;;;;4,08;4,10;-0,24;-0,06;;18,27;-1,11;5,31;26,44;26,09;25,51;0,99;0,01;0,00;;-1,84;1.239.141,90;20,41;5,40;-0,06;8.929.589.103,74
BRAP4;23,24;13,00;4,31;1,14;1,12;;;;4,44;4,10;-0,24;-0,06;;19,89;-1,21;5,31;26,44;26,09;25,51;0,99;0,01;0,00;;-1,84;58.747.752,80;20,41;5,40;-0,07;8.929.589.103,74
BRBI11;16,28;8,11;11,73;2,20;0,18;17,13;2,90;9,24;37,41;32,94;-4,55;-0,27;1,08;;-0,19;;18,78;1,55;-2,15;0,08;0,92;0,17;;;4.505.614,47;7,39;1,39;11,27;1.712.479.932,24
BRBI3;0,00;;0,00;0,00;0,00;17,13;2,90;9,24;0,00;32,94;-4,55;-0,27;0,00;;0,00;;18,78;1,55;-2,15;0,08;0,92;0,17;;;;2,46;0,46;0,00;1.712.479.932,24
BRBI4;0,00;;0,00;0,00;0,00;17,13;2,90;9,24;0,00;32,94;-4,55;-0,27;0,00;;0,00;;18,78;1,55;-2,15;0,08;0,92;0,17;;;;2,46;0,46;0,00;1.712.479.932,24
BRFS3;12,83;;-5,85;1,53;0,36;14,97;-0,74;-6,84;-53,78;-81,24;-27,20;0,77;0,40;3,40;-0,70;1,29;-26,15;-6,23;-1,23;0,24;0,75;0,91;13,70;;103.396.099,47;8,39;-2,19;-0,03;21.687.080.140,94
BRGE11;11,12;2,37;17,22;0,61;0,28;-4.173,02;-192,28;1.340,82;-120,08;105,71;225,39;-1,15;230,88;0,74;-0,62;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;1.098,00;18,16;0,65;-0,44;816.243.485,52
BRGE12;10,61;;16,43;0,58;0,26;-4.173,02;-192,28;1.340,82;-114,57;105,71;225,39;-1,15;220,30;0,70;-0,59;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;4.886,00;18,16;0,65;-0,42;816.243.485,52
BRGE3;11,30;;17,50;0,62;0,28;-4.173,02;-192,28;1.340,82;-122,02;105,71;225,39;-1,15;234,62;0,75;-0,63;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;4.199,78;18,16;0,65;-0,44;816.243.485,52
BRGE5;10,82;2,03;16,76;0,60;0,27;-4.173,02;-192,28;1.340,82;-116,84;105,71;225,39;-1,15;224,66;0,72;-0,60;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;7.574,00;18,16;0,65;-0,42;816.243.485,52
BRGE6;11,12;4,74;17,22;0,61;0,28;-4.173,02;-192,28;1.340,82;-120,08;105,71;225,39;-1,15;230,88;0,74;-0,62;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;5.845,17;18,16;0,65;-0,44;816.243.485,52
BRGE7;10,82;2,84;16,76;0,60;0,27;-4.173,02;-192,28;1.340,82;-116,84;105,71;225,39;-1,15;224,66;0,72;-0,60;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;8.656,00;18,16;0,65;-0,42;816.243.485,52
BRGE8;11,10;1,98;17,19;0,61;0,28;-4.173,02;-192,28;1.340,82;-119,86;105,71;225,39;-1,15;230,47;0,73;-0,62;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;11.827,20;18,16;0,65;-0,44;816.243.485,52
BRIN3;39,15;0,83;53,61;1,67;0,97;100,00;11,00;5,02;24,49;24,14;-0,35;-0,02;2,69;-44,79;-1,22;0,90;3,12;1,82;5,96;0,58;0,42;0,36;21,03;;;23,43;0,73;-2,20;798.299.859,15
BRIT3;3,26;0,99;11,13;0,99;0,47;46,79;21,28;11,15;5,83;8,84;2,92;0,50;1,24;3,61;-0,61;2,30;8,88;4,20;7,70;0,47;0,53;0,38;;;1.482.381,73;3,30;0,29;0,04;1.486.504.171,96
BRIV3;10,76;1,47;17,36;0,55;0,04;15,61;2,39;1,58;11,45;11,29;;;0,27;0,51;-0,04;7,22;3,20;0,22;;0,07;0,93;0,14;20,48;2,02;14.420,40;19,39;0,62;0,90;939.646.086,39
BRIV4;10,37;2,99;16,73;0,53;0,04;15,61;2,39;1,58;11,04;11,29;;;0,26;0,49;-0,04;7,22;3,20;0,22;;0,07;0,93;0,14;20,48;2,02;25.375,96;19,39;0,62;0,87;939.646.086,39
BRKM3;19,04;;-3,22;3,02;0,17;2,65;-4,95;-6,47;-4,21;-10,74;-6,61;4,75;0,21;1,16;-0,28;1,54;-93,87;-5,12;-11,04;0,05;0,95;0,79;14,40;;821.186,37;6,30;-5,91;0,01;14.899.764.945,10
BRKM5;18,47;;-3,12;2,93;0,16;2,65;-4,95;-6,47;-4,08;-10,74;-6,61;4,75;0,20;1,12;-0,27;1,54;-93,87;-5,12;-11,04;0,05;0,95;0,79;14,40;;91.401.369,93;6,30;-5,91;0,01;14.899.764.945,10
